UserID,Item21IE,Item09IE,Item19IE,Item38IE,Item12IE,Item22IE,Item28PC2,Item27PC2,Item25PC2,Item29PC2,Item26PC2,Item14PT,Item01PT,Item16PT,Item18PT,Item11PT,Item06PC,Item17PC,Item23PC,Interest/Enjoyment,Perceived Competence,Pressure/Tension,Perceived Choice,Intrinsic Motivation
1,4,4,4,7,4,4,5,7,5,3,5,1,7,1,1,7,4,4,3,4.5,5,1,3.6666666666666665,5.041666666666666
2,7,7,1,7,7,7,4,7,7,7,6,1,7,1,2,4,5,4,2,7,6.2,1.8,3,5.6
3,7,6,4,5,5,6,7,7,5,6,4,1,7,2,1,4,3,1,5,5.5,5.8,1.8,5.666666666666667,5.791666666666667
4,4,5,1,5,7,6,6,5,7,7,6,1,6,1,1,4,4,4,4,5.666666666666667,6.2,1.8,4,5.516666666666667
5,4,4,4,4,4,4,7,7,6,7,6,1,7,1,1,7,1,1,7,4,6.6,1,7,6.15
6,7,7,1,7,7,7,7,5,7,7,6,1,7,1,1,7,1,1,7,7,6.4,1,7,6.85
7,7,7,1,7,7,6,6,6,4,5,4,1,7,1,1,4,1,1,7,6.833333333333333,5,1.6,7,6.308333333333333
8,7,7,1,7,7,7,7,7,7,7,4,1,7,1,1,7,4,4,4,7,6.4,1,4,6.1
9,6,7,3,7,7,6,4,5,4,4,4,2,6,5,2,4,4,2,6,6.333333333333333,4.2,3,5.333333333333333,5.216666666666667
11,4,4,4,4,4,4,4,5,4,3,3,2,7,4,2,7,4,1,2,4,3.8,2,4.333333333333333,4.533333333333333
12,6,6,1,6,6,6,6,7,6,6,3,1,7,1,1,7,2,2,6,6.166666666666667,5.6,1,6,6.191666666666666
14,7,7,1,6,6,7,6,7,6,7,4,1,7,5,1,4,4,1,6,6.666666666666667,6,2.4,5.666666666666667,5.983333333333334
15,7,5,1,6,7,7,7,7,7,7,6,1,7,4,1,4,5,2,3,6.5,6.8,2.2,4,5.775
17,7,5,1,6,7,6,6,7,7,7,4,2,7,5,1,7,2,1,5,6.333333333333333,6.2,2,6,6.133333333333333
18,7,7,1,7,5,5,7,7,4,7,6,1,6,5,1,4,1,3,6,6.333333333333333,6.2,2.6,6,5.9833333333333325
19,7,7,1,7,7,7,4,7,4,6,3,2,7,5,2,4,1,1,3,7,4.8,2.8,5.666666666666667,5.666666666666667
20,7,6,1,7,7,6,4,6,6,7,6,2,6,5,2,5,1,3,2,6.666666666666667,5.8,2.8,4.666666666666667,5.583333333333333
