UserID,Item01,Item02,Item06,Item09,Item11,Item12,Item14,Item16,Item17,Item18,Item19,Item21,Item22,Item23,Item24,Item25,Item38,Item26,Item27,Item39,Item28,Item29
1,7,5,4,1,7,2,1,1,4,1,6,4,4,3,4,5,7,5,7,3,5,1
2,7,7,7,7,4,7,1,1,4,4,1,7,7,1,1,7,7,7,7,1,1,7
3,7,2,3,6,1,5,1,2,1,1,6,7,6,5,3,5,5,4,7,6,7,6
4,6,4,4,5,1,7,1,1,4,1,1,4,6,4,3,7,5,7,1,3,6,7
5,7,1,1,3,7,3,1,1,1,1,4,4,4,7,1,6,4,6,7,6,7,7
6,7,1,1,7,7,7,1,1,1,1,1,7,7,7,7,7,7,7,1,1,7,7
7,7,4,1,7,1,7,1,1,1,1,1,7,6,7,7,4,7,4,6,4,6,5
8,7,4,4,7,7,7,1,1,4,1,1,7,7,4,4,7,7,4,7,4,7,7
9,1,5,4,7,4,7,4,6,2,7,3,6,6,6,4,4,7,4,4,4,3,4
11,7,4,4,1,7,1,4,4,1,3,5,4,2,1,3,3,4,3,5,1,4,1
12,7,6,2,6,7,6,1,1,2,1,1,6,6,6,6,6,6,1,7,6,6,6
14,7,2,4,7,1,6,1,7,1,1,1,7,7,6,4,6,6,4,7,4,6,7
15,7,2,7,5,1,7,1,4,2,1,1,7,7,3,3,7,6,7,7,4,7,7
17,7,1,2,5,7,7,3,5,1,1,1,7,6,5,3,7,6,4,7,3,6,7
18,2,2,1,7,1,5,1,7,3,1,1,7,5,6,4,4,7,6,7,5,7,7
19,7,1,1,7,1,7,7,7,1,2,1,7,7,3,6,1,7,1,7,7,4,6
20,2,5,1,6,5,7,5,7,3,4,1,7,6,1,4,6,7,6,6,4,4,7
21,7,4,4,7,7,7,1,7,4,1,1,7,7,1,4,7,7,4,7,7,7,7
22,5,2,3,5,2,5,3,2,2,3,2,6,5,4,1,6,6,2,4,3,4,2
23,7,7,1,7,4,7,1,1,1,1,1,7,7,7,4,7,7,6,7,7,7,7
24,4,1,7,1,7,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1
25,7,3,4,7,7,7,1,2,3,1,1,7,4,3,5,5,7,6,7,7,7,7
26,7,4,5,2,7,5,6,7,1,5,1,4,7,4,7,3,4,1,3,4,1,5
27,5,2,3,5,7,7,2,1,2,1,1,5,5,7,7,4,6,1,4,3,6,4
29,1,7,1,7,7,7,7,1,1,1,1,7,7,4,7,7,7,7,7,1,7,7
30,6,1,1,7,7,7,1,2,1,1,1,7,7,5,4,4,7,1,5,6,5,4
31,7,1,1,7,1,7,1,1,1,1,4,4,7,7,4,4,4,4,4,7,7,7
32,1,1,1,7,4,7,7,7,1,7,1,7,7,7,7,7,7,7,7,4,7,7
33,7,1,1,7,7,7,1,4,1,1,1,7,7,5,4,6,7,5,7,6,5,4
34,6,7,7,4,7,5,1,1,7,5,7,3,1,3,3,5,4,1,3,4,4,5
36,7,1,1,7,7,7,1,1,1,1,1,7,6,7,7,7,7,4,7,7,7,7
37,5,1,1,7,7,7,1,6,1,1,1,7,6,6,7,5,6,1,6,7,7,7
38,5,7,1,7,7,5,1,7,7,7,1,7,7,7,4,7,7,4,5,4,7,7
39,7,3,2,7,1,7,1,6,1,1,1,7,7,6,6,6,7,5,6,5,6,7
40,7,4,5,7,7,7,2,2,3,2,6,7,7,6,5,5,7,4,7,5,6,5
41,6,5,5,4,7,4,1,1,6,1,2,5,4,2,3,7,5,6,6,3,5,7
42,7,7,1,7,1,7,1,4,1,1,1,7,7,3,7,6,7,6,7,4,7,6
43,7,7,1,7,7,7,1,1,1,1,1,7,7,1,7,7,7,6,7,7,7,7
45,7,1,2,5,7,7,1,1,6,1,2,7,6,1,4,7,7,4,6,1,3,2
46,7,1,1,7,7,6,7,7,1,1,1,7,7,7,1,7,7,7,7,1,7,7
47,7,1,1,7,7,7,1,1,1,1,1,7,7,6,6,3,7,4,4,5,4,4
48,7,1,1,6,7,7,1,4,1,1,1,5,7,2,5,5,7,4,5,4,7,6
49,7,3,6,4,7,3,1,1,4,1,5,4,4,3,1,5,5,3,7,4,4,4
50,7,1,1,6,7,7,1,6,1,1,1,7,7,6,5,6,7,4,7,6,7,7
51,3,5,4,5,5,5,2,1,3,4,3,7,4,5,3,5,6,2,5,2,7,6
52,7,1,1,7,7,7,1,1,1,1,1,7,7,4,4,6,7,4,6,1,6,5
53,7,1,1,7,7,7,1,1,1,1,1,7,7,7,5,7,7,7,7,7,7,4
54,5,7,7,2,2,3,6,1,7,1,7,2,1,1,1,1,3,4,4,1,1,4
55,7,3,4,6,7,5,1,3,2,1,5,6,5,4,2,7,6,4,7,6,5,4
56,7,1,1,7,7,7,1,5,1,1,1,7,7,7,7,7,7,7,7,7,6,6
57,5,1,1,4,4,6,2,2,1,1,1,7,5,6,1,4,7,5,5,4,4,4
58,7,2,1,6,7,7,1,7,1,1,2,7,6,3,5,6,7,4,7,7,7,7
59,6,1,2,5,6,6,2,6,2,1,1,7,6,5,4,6,7,7,7,6,1,1
60,7,6,7,5,7,6,1,7,6,3,3,5,6,4,1,5,3,4,5,4,4,4
61,7,2,1,7,1,7,1,5,1,1,1,7,7,7,7,7,7,4,7,6,7,7
62,7,2,3,7,7,7,1,2,1,1,1,7,6,5,5,6,7,4,7,5,6,7
63,7,1,1,7,7,7,1,1,1,1,1,7,7,7,7,7,7,4,7,7,7,4
65,7,4,4,7,7,7,1,1,4,1,1,7,4,6,1,7,7,4,7,5,7,7
66,7,1,1,7,7,7,1,1,1,1,1,7,7,6,5,7,7,4,7,7,7,7
69,4,4,4,4,5,7,4,3,4,4,1,5,3,2,4,1,4,6,6,2,4,4
71,7,4,5,7,7,7,1,1,2,1,1,7,7,3,4,6,7,7,7,5,5,4
72,7,7,1,1,1,1,1,1,7,1,7,1,1,1,1,4,1,3,1,1,1,1
73,7,1,1,7,7,7,1,3,1,1,1,7,7,6,4,6,7,5,7,7,6,7
74,7,7,5,5,7,7,1,3,4,3,4,3,7,3,5,7,1,7,7,7,7,5
75,3,7,4,7,5,4,3,1,1,1,1,7,7,7,1,5,7,4,7,4,4,7
76,7,3,3,2,1,3,1,1,3,1,3,2,2,4,1,2,2,1,5,1,5,5
77,7,1,4,4,7,4,1,1,4,1,4,3,4,4,4,1,4,1,4,1,4,1
79,7,5,2,1,7,1,1,3,5,1,5,5,1,7,1,7,5,6,7,2,4,1
80,5,1,7,5,1,7,4,6,7,6,5,3,5,4,7,6,7,4,7,4,1,7
81,6,2,1,6,7,7,1,1,1,1,1,6,5,6,4,6,6,7,7,6,6,7
