UserID,Item01,Item02,Item06,Item09,Item11,Item12,Item14,Item16,Item17,Item18,Item19,Item21,Item22,Item23,Item24,Item25,Item38,Item26,Item27,Item39,Item28,Item29
1,7,5,4,4,7,4,1,1,4,1,4,4,4,3,4,5,7,5,7,3,5,3
2,7,6,5,7,4,7,1,1,4,2,1,7,7,2,1,7,7,6,7,2,4,7
3,7,2,3,6,4,5,1,2,1,1,4,7,6,5,3,5,5,4,7,6,7,6
4,6,4,4,5,4,7,1,1,4,1,1,4,6,4,3,7,5,6,5,3,6,7
5,7,1,1,4,7,4,1,1,1,1,4,4,4,7,1,6,4,6,7,6,7,7
6,7,1,1,7,7,7,1,1,1,1,1,7,7,7,6,7,7,6,5,2,7,7
7,7,4,1,7,4,7,1,1,1,1,1,7,6,7,6,4,7,4,6,4,6,5
8,7,4,4,7,7,7,1,1,4,1,1,7,7,4,4,7,7,4,7,4,7,7
9,6,5,4,7,4,7,2,5,2,2,3,6,6,6,4,4,7,4,5,4,4,4
11,7,4,4,4,7,4,2,4,1,2,4,4,4,2,3,4,4,3,5,2,4,3
12,7,6,2,6,7,6,1,1,2,1,1,6,6,6,6,6,6,3,7,6,6,6
14,7,2,4,7,4,6,1,5,1,1,1,7,7,6,4,6,6,4,7,4,6,7
15,7,2,5,5,4,7,1,4,2,1,1,7,7,3,3,7,6,6,7,4,7,7
17,7,1,2,5,7,7,2,5,1,1,1,7,6,5,3,7,6,4,7,3,6,7
18,6,2,1,7,4,5,1,5,3,1,1,7,5,6,4,4,7,6,7,5,7,7
19,7,1,1,7,4,7,2,5,1,2,1,7,7,3,6,4,7,3,7,6,4,6
20,6,5,1,6,5,7,2,5,3,2,1,7,6,2,4,6,7,6,6,4,4,7
21,7,4,4,7,7,7,1,5,4,1,1,7,7,2,4,7,7,4,7,6,7,7
22,6,2,3,5,4,5,2,2,2,2,2,6,5,4,1,6,6,3,5,3,4,3
